ticker,shares,cost_basis,weight,bucket,stat_arb_score,rsi,mean_reversion_pct,bb_position,vol_ratio,mom_1m_pct,mom_3m_pct
VXX,409.7654,28.98,0.011875,BETA,0.5784,11.9,-13.23,0.1644,0.548,-16.44,10.11
TGS,388.1988,30.59,0.011875,BETA,0.57618,24.1,-8.31,-0.0069,1.313,-5.18,7.15
PTEN,1260.6157,9.42,0.011875,BETA,0.56693,33.3,-10.9,-0.0606,1.023,-12.29,34.06
OVV,224.8627,52.81,0.011875,BETA,0.56673,24.6,-8.7,-0.0072,0.627,-5.75,32.92
KYN,898.2602,13.22,0.011875,BETA,0.56448,23.3,-4.51,-0.0341,1.518,-4.36,8.52
SU,194.1629,61.16,0.011875,BETA,0.56416,30.4,-5.32,-0.1058,0.781,-1.32,25.86
ESPR,5821.0784,2.04,0.011875,BETA,0.56324,23.1,-16.39,0.1301,1.623,-18.73,-34.82
CNR,138.1296,85.97,0.011875,BETA,0.55743,18.4,-13.74,0.1268,0.956,-15.33,-12.19
PROP,9576.6129,1.24,0.011875,BETA,0.55429,34.6,-29.53,0.1913,1.189,-19.48,-32.97
SEDG,310.0522,38.3,0.011875,BETA,0.55011,25.5,-16.36,0.1037,1.145,-14.66,13.18
PMAX,4693.6759,2.53,0.011875,BETA,0.54506,39.9,-25.35,0.1337,0.77,-33.07,-89.28
IMAX,338.4155,35.09,0.011875,BETA,0.54179,42.0,-7.02,-0.1035,1.158,-6.33,-3.33
CHRD,96.0916,123.58,0.011875,BETA,0.54123,29.9,-9.64,-0.0234,0.732,-5.36,35.83
CRK,704.3298,16.86,0.011875,BETA,0.53576,12.3,-13.65,0.2052,1.121,-18.27,-19.14
NTR,168.1535,70.62,0.011875,BETA,0.53279,36.4,-5.16,-0.1252,0.715,-8.67,4.87
REI,9500.0,1.25,0.011875,BETA,0.5272,29.6,-13.97,0.0481,0.694,-17.76,28.87
UGRO,1049.0283,11.32,0.011875,BETA,0.52393,34.0,-32.02,0.3268,0.049,354.62,95.17
AMTX,5231.2775,2.27,0.011875,BETA,0.52114,24.9,-18.59,0.16,0.974,-17.15,49.34
EPM,2875.3027,4.13,0.011875,BETA,0.51361,28.8,-7.44,-0.0198,0.788,-7.19,16.44
SPH,629.3058,18.87,0.011875,BETA,0.50753,27.5,-5.07,-0.0336,0.851,-7.68,0.15
