,ticker,name,sector,industry,price,market_cap_bn,fcf_yield_pct,forward_pe,trailing_pe,ps_ratio,roe_pct,roce_pct,gross_margin_pct,op_margin_pct,rev_growth_pct,debt_equity,above_200d,tier1_passes,multibagger_score,alpha_score,orig_score,composite_score
35,VITL,"Vital Farms, Inc.",Consumer Defensive,Farm Products,12.29,0.550556672,-4.221386313523778,9.209856,8.534722,0.72494704,21.361999,12.581000000000001,37.617,10.026,28.7,0.15228569879215526,False,3,47.2,0.0,85.0,44.4
36,GTLB,GitLab Inc.,Technology,Software - Infrastructure,21.42,3.644227328,7.7676717318113475,21.780909,,3.8150501,-6.305,-2.7199999999999998,87.376,-1.005,23.200000000000003,0.0,False,3,42.2,0.0,87.3,43.1
37,UPST,"Upstart Holdings, Inc.",Financial Services,Credit Services,34.57,3.308600064,-8.325262246020436,10.886166,76.82222,3.0762765,7.486,1.7389999999999999,82.485,8.876000000000001,34.4,2.4323937165245257,False,1,24.4,25.6,84.4,42.8
38,CELH,"Celsius Holdings, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,35.25,9.058404352,0.8679867771926107,17.289158,141.0,3.6013658,5.185,9.806,51.248000000000005,14.220000999999998,117.19999999999999,0.5883728990819499,False,1,21.4,26.1,88.0,42.8
39,PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,167.85,136.965603328,2.08754973404004,42.297604,93.25001,13.843999,16.259001,3.4479998,73.502,15.496999,14.899999999999999,0.04235969918522641,False,1,31.4,18.0,79.7,41.9
40,JOBY,"Joby Aviation, Inc.",Industrials,Airports & Air Services,9.22,9.029462016,-3.630973533296272,-19.827957,,169.01192,-80.087,-29.997998,45.104,-689.37597,55965.5,0.029335639876931986,False,2,27.8,100.0,0.0,41.1
41,WEAV,"Weave Communications, Inc.",Healthcare,Health Information Services,5.33,0.419197088,10.810010206941133,25.686747,,1.7537866,-37.565,-9.106,72.088,-3.184,17.0,0.6309242134639169,False,2,37.8,0.0,85.4,40.7
42,TENB,"Tenable Holdings, Inc.",Technology,Software - Infrastructure,19.35,2.309311488,11.822668419514656,9.309777,,2.3106863,-9.945,0.598,78.093004,5.108,10.5,1.3180401849542827,False,2,37.8,0.0,83.1,40.0
43,ACRE,Ares Commercial Real Estate Cor,Real Estate,REIT - Mortgage,5.3,0.293448672,0.0,8.50272,,4.037655,-0.17200001,-0.054000004,100.0,-195.769,-81.69999999999999,2.0401386809560393,True,1,29.4,92.9,0.0,39.6
44,DOCS,"Doximity, Inc.",Healthcare,Health Information Services,24.71,4.652182528,4.592067802890815,15.241702,20.764704,7.2943487,23.815,12.841,89.748,38.894,9.8,0.015093203286838584,False,1,34.4,0.0,84.4,39.1
45,KYMR,"Kymera Therapeutics, Inc.",Healthcare,Biotechnology,87.71,7.160854016,-1.8997908307589215,-21.884007,,182.6236,-25.782,-15.875,0.0,-3411.01,-61.199999999999996,0.051867111949906106,True,1,21.4,100.0,0.0,38.6
