ticker,alpha,beta,sharpe,ann_vol,ret_1m,ret_3m,ret_6m,ret_1y,momentum,ma50_score,ma200_score,composite_score,vol_trend
SNDK,2.9486091529426064,3.1517485504473353,4.110944527516531,0.9433697774513773,0.221974534956068,1.2504887406211602,5.3824668798103374,,1.1897273655289404,0.35542835848671034,2.0240263725711705,0.924438685805208,-0.03907815255201008
LITE,2.4530703652843395,2.5178416242482275,4.005851198020992,0.7977447063589682,0.275766627814791,1.6045679375968112,4.710352976306731,,0.949454415082221,0.2707233294245633,1.6281855007398787,0.8779774268663084,0.10552323110565065
CIEN,1.6510486950446934,2.3587562694292745,3.7757441528951463,0.6215216025220959,0.31711047036643913,1.0814225630672945,2.007705367094104,,0.8548449677880494,0.3582398598075006,1.351450075768598,0.7542222986009551,-0.1622337623037413
RLAY,1.5112520413448574,1.7239890037762278,2.890796790720975,0.6986657534991053,0.6878146740988591,1.1965923954786106,1.5355521770573515,,0.9658625891890922,0.5628205551818376,1.3689046231963469,0.7505027143062787,0.2085037242460659
WDC,1.861320383843604,2.227394848470058,4.061704369388541,0.6199949962839205,0.22177762043558724,0.6780651421516442,2.0969607352694983,,0.7069414016570428,0.2738278111044968,1.1400549922095888,0.7493439791345707,-0.10552871669960184
STX,1.5993291569652532,1.9697883631829967,3.5401384125406694,0.6158715082648606,0.3489331141211214,0.7129916793027045,1.507726604882146,,0.6207118136897889,0.2990243441798925,0.9423992831996854,0.7109598579061278,0.07325948025316653
COHR,1.2869700219131115,2.761217853880746,3.0796182042132205,0.6823326827167835,0.34139419336643373,0.7606653255398981,2.124897903903216,,0.7051636290882171,0.33972632469184033,1.0706009334845938,0.6815518976608811,0.0854380801367729
MU,1.3619945160109217,2.4079716032442846,3.521283909721684,0.5884692339096174,-0.014010009246466226,0.3524082038370917,1.3728514347637235,,0.4417163589185995,0.12003099921349161,0.7634017186237074,0.6615246814305855,0.19666731675566496
SATS,1.9707331036924718,1.190269732017258,2.1139555969031227,1.0983079540185792,0.23628776532591278,0.07818699654796846,0.7796928447490024,,0.379414629405247,0.15462097538181005,0.6042082834286839,0.6509841634114257,0.4608730693240486
TER,1.1221777602954461,2.422881898864581,3.1533349836016615,0.5824778934217875,0.2676375365693271,0.6712299489619082,1.7003234397813691,,0.5748561378154097,0.20205056999316323,0.9476617056376562,0.6428061017626584,-0.05911429891816289
PARR,1.5681449704153012,0.04821022213508382,2.8297596436303354,0.5591865047086043,0.023384529856951497,0.48369572299768815,0.6144749237087359,,0.2543829059991796,0.08961326928781273,0.41915254271054647,0.6300286955644728,0.12810849925627532
GLW,0.9651189748287083,1.7618668390297336,3.211609623177241,0.462303633707975,0.2658247659803974,0.7615446142057793,0.9077419524501043,,0.4506842092064163,0.15983798795372503,0.7415304304591075,0.6234090470350497,-0.03730236434197065
FIX,1.0788146601002708,2.184426517443667,3.2870688342825547,0.5241929156650056,0.1598524038672695,0.5135351335401064,0.9738698185944625,,0.41756892751315977,0.1665979773091968,0.6685398777171228,0.6185999049725766,-0.05968886450298083
VRT,0.9073127910967524,2.5080569105562143,2.8644782375701774,0.5749749564458895,0.16104418517971597,0.7816921703793682,0.7036611677423963,,0.4408150935494828,0.19623904807607703,0.6853911390228885,0.6162963943296534,0.14171472675428243
CLMT,1.1651530300256148,0.4989128260483244,2.9793224564305225,0.4404676792856613,0.10649255957139148,0.5666342374098066,0.7105682004768277,,0.2947456155390133,0.07431838099454113,0.5151728500834855,0.6091563108983784,0.06874838560758856
